text1,text2,label
"what is the type of CPU on Frontier? 
","On Frontier, there are two major types of nodes you will encounter: Login and Compute. While these are similar in terms of hardware (see: https://docs.olcf.ornl.gov/systems/frontier_user_guide.html#frontier-nodes), they differ considerably in their intended use.",4.29184561621361
"what is the type of CPU on Frontier? 
",Programming Environment  Frontier utilizes the Cray Programming Environment.  Many aspects including LMOD are similar to Summit's environment.  But Cray's compiler wrappers and the Cray and AMD compilers are worth noting.  See the https://docs.olcf.ornl.gov/systems/frontier_user_guide.html#frontier-compilers section for more information.  AMD GPUs  Each frontier node has 4 AMD MI250X accelerators with two Graphic Compute Dies (GCDs) in each accelerator. The system identifies each GCD as an independent device (so for simplicity we use the term GPU when we talk about a GCD) for a total of 8,4.265235858130821
"what is the type of CPU on Frontier? 
","Frontier has a total of 9,408 AMD compute nodes, with each node consisting of [1x] 64-core AMD “Optimized 3rd Gen EPYC” CPU with access to 512 GB of DDR4 memory. Each node also contains [4x] AMD MI250X accelerators, each with 2 Graphics Compute Dies (GCDs) for a total of 8 GCDs per node. The programmer can think of the 8 GCDs as 8 separate GPUs, each having 64 GB of high-bandwidth memory (HBM2E). The CPU is connected to each GCD via Infinity Fabric CPU-GPU, allowing a peak host-to-device (H2D) and device-to-host (D2H) bandwidth of 36+36 GB/s. The 2 GCDs on the same MI250X are connected with",4.265177505301664
"show an example job script for Frontier.
","Submit the batch script to the batch scheduler.

Optionally monitor the job before and during execution.

The following sections describe in detail how to create, submit, and manage jobs for execution on Frontier. Frontier uses SchedMD's Slurm Workload Manager as the batch scheduling system.",4.318887843557825
"show an example job script for Frontier.
","Unlike Summit and Titan, there are no launch/batch nodes on Frontier. This means your batch script runs on a node allocated to you rather than a shared node. You still must use the job launcher (srun) to run parallel jobs across all of your nodes, but serial tasks need not be launched with srun.



To easily visualize job examples (see https://docs.olcf.ornl.gov/systems/frontier_user_guide.html#frontier-mapping further below), the compute node diagram has been simplified to the picture shown below.

Simplified Frontier node architecture diagram",4.243172212398559
"show an example job script for Frontier.
","Frontier

.. code-block:: bash

    #!/bin/bash
    #SBATCH -A ABC123
    #SBATCH -J job_name
    #SBATCH -N 1
    #SBATCH -t 0:05:00
    #SBATCH -p batch

    unset SLURM_EXPORT_ENV

    cd $SLURM_SUBMIT_DIR
    date",4.229779536720953
"Please provide an example job script for Summit.
","As is the case on other OLCF systems, computational work on Summit is performed within jobs. A typical job consists of several components:

A submission script

An executable

Input files needed by the executable

Output files created by the executable

In general, the process for running a job is to:

Prepare executables and input files

Write the batch script

Submit the batch script

Monitor the job's progress before and during execution",4.333092887807401
"Please provide an example job script for Summit.
","Summit has a node hierarchy that can be very confusing for the uninitiated. The Summit User Guide explains this in depth. This has some consequences that may be unusual for R programmers. A few important ones to note are:

You must have a script that you can run in batch, e.g. with Rscript or R CMD BATCH

All data that needs to be visible to the R process (including the script and your packages) must be on gpfs (not your home directory!).

You must launch your script from the launch nodes with jsrun.

We'll start with something very simple. The script is:

""hello world""",4.2761330617804445
"Please provide an example job script for Summit.
",The following sections will provide more information regarding running jobs on Summit. Summit uses IBM Spectrum Load Sharing Facility (LSF) as the batch scheduling system.,4.270943662517826
"what is the job scheduling policy on Frontier? 
","agreed to by the following persons as a condition of access to or use of

OLCF computational resources:



-  Principal Investigators (Non-Profit)

-  Principal Investigators (Industry)

-  All Users



**Title:** Titan Scheduling Policy **Version:** 13.02



In a simple batch queue system, jobs run in a first-in, first-out (FIFO)

order. This often does not make effective use of the system. A large job

may be next in line to run. If the system is using a strict FIFO queue,

many processors sit idle while the large job waits to run. *Backfilling*",4.240700823071761
